Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-12,BR,Brazil,AMRO,0,0,0,0
2020-02-13,BR,Brazil,AMRO,0,0,0,0
2020-02-14,BR,Brazil,AMRO,0,0,0,0
2020-02-15,BR,Brazil,AMRO,0,0,0,0
2020-02-16,BR,Brazil,AMRO,0,0,0,0
2020-02-17,BR,Brazil,AMRO,0,0,0,0
2020-02-18,BR,Brazil,AMRO,0,0,0,0
2020-02-19,BR,Brazil,AMRO,0,0,0,0
2020-02-20,BR,Brazil,AMRO,0,0,0,0
2020-02-21,BR,Brazil,AMRO,0,0,0,0
2020-02-22,BR,Brazil,AMRO,0,0,0,0
2020-02-23,BR,Brazil,AMRO,0,0,0,0
2020-02-24,BR,Brazil,AMRO,0,0,0,0
2020-02-25,BR,Brazil,AMRO,0,0,0,0
2020-02-26,BR,Brazil,AMRO,5,5,0,0
2020-02-27,BR,Brazil,AMRO,0,5,0,0
2020-02-28,BR,Brazil,AMRO,0,5,0,0
2020-02-29,BR,Brazil,AMRO,0,5,0,0
2020-03-01,BR,Brazil,AMRO,1,6,0,0
2020-03-02,BR,Brazil,AMRO,0,6,0,0
2020-03-03,BR,Brazil,AMRO,0,6,0,0
2020-03-04,BR,Brazil,AMRO,1,7,0,0
2020-03-05,BR,Brazil,AMRO,4,11,0,0
2020-03-06,BR,Brazil,AMRO,1,12,0,0
2020-03-07,BR,Brazil,AMRO,5,17,0,0
2020-03-08,BR,Brazil,AMRO,6,23,0,0
2020-03-09,BR,Brazil,AMRO,6,29,0,0
2020-03-10,BR,Brazil,AMRO,0,29,0,0
2020-03-11,BR,Brazil,AMRO,9,38,0,0
2020-03-12,BR,Brazil,AMRO,18,56,0,0
2020-03-13,BR,Brazil,AMRO,25,81,0,0
2020-03-14,BR,Brazil,AMRO,44,125,0,0
2020-03-15,BR,Brazil,AMRO,0,125,0,0
2020-03-16,BR,Brazil,AMRO,79,204,0,0
2020-03-17,BR,Brazil,AMRO,34,238,0,0
2020-03-18,BR,Brazil,AMRO,57,295,1,1
2020-03-19,BR,Brazil,AMRO,133,428,3,4
2020-03-20,BR,Brazil,AMRO,193,621,0,4
2020-03-21,BR,Brazil,AMRO,283,904,7,11
2020-03-22,BR,Brazil,AMRO,0,904,0,11
2020-03-23,BR,Brazil,AMRO,0,904,0,11
2020-03-24,BR,Brazil,AMRO,642,1546,14,25
2020-03-25,BR,Brazil,AMRO,655,2201,21,46
2020-03-26,BR,Brazil,AMRO,232,2433,11,57
2020-03-27,BR,Brazil,AMRO,0,2433,0,57
2020-03-28,BR,Brazil,AMRO,482,2915,20,77
2020-03-29,BR,Brazil,AMRO,502,3417,15,92
2020-03-30,BR,Brazil,AMRO,487,3904,22,114
2020-03-31,BR,Brazil,AMRO,352,4256,22,136
